--------------------
BDMEP - INMET
--------------------
Estação           : NATAL - RN (OMM: 82598)
Latitude  (graus) : -5.91
Longitude (graus) : -35.2
Altitude  (metros): 48.60
Estação Operante
Inicio de operação: 01/01/1911
Periodo solicitado dos dados: 01/01/1980 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82598;01/08/1983;0000;;28.2;;4.1;8;;87.75;2.533333;
82598;01/08/1983;1200;0;;;;;;;;
82598;02/08/1983;0000;;28.2;;8.7;4.3;;92.5;4.833333;
82598;02/08/1983;1200;2.2;;;;;;;;
82598;03/08/1983;0000;;28.5;;9.9;6.9;;89;4;
82598;03/08/1983;1200;0;;;;;;;;
82598;04/08/1983;0000;;28.4;;9.4;4.8;;;;
82598;04/08/1983;1200;0;;21.2;;;;;;
82598;05/08/1983;0000;;28;;10;2.4;;;;
82598;05/08/1983;1200;0;;19.8;;;;;;
82598;06/08/1983;0000;;29;;8.9;6.6;;;;
82598;06/08/1983;1200;0;;23.4;;;;;;
82598;07/08/1983;0000;;28.8;;9.9;10;;;;
82598;07/08/1983;1200;0.4;;24.4;;;;;;
82598;08/08/1983;0000;;28.2;;6.1;18.5;;;;
82598;08/08/1983;1200;0;;25;;;;;;
82598;09/08/1983;0000;;29.2;;10.2;6.1;;;;
82598;09/08/1983;1200;0;;20.7;;;;;;
82598;10/08/1983;0000;;28.2;;10;8.7;24.28;85;4.233333;
82598;10/08/1983;1200;0;;18.4;;;;;;
82598;11/08/1983;0000;;30.4;;10;9.7;;;;
82598;11/08/1983;1200;0;;19.6;;;;;;
82598;12/08/1983;0000;;27.6;;4.5;10;23.52;90.25;4.066667;
82598;12/08/1983;1200;1.3;;19.8;;;;;;
82598;13/08/1983;0000;;25.2;;1.3;3.8;;;;
82598;13/08/1983;1200;6.5;;20.6;;;;;;
82598;14/08/1983;0000;;28;;5.9;2.4;24.56;89;5.1;
82598;14/08/1983;1200;31.4;;21.8;;;;;;
82598;15/08/1983;0000;;28;;6.7;5;;;;
82598;15/08/1983;1200;2.3;;20.6;;;;;;
82598;16/08/1983;0000;;26.8;;;;23.48;93.75;3.066667;
82598;16/08/1983;1200;1.6;;20.6;;;;;;
82598;17/08/1983;0000;;27.6;;9.2;2.6;24.84;90.25;4.833333;
82598;17/08/1983;1200;11.5;;21;;;;;;
82598;18/08/1983;0000;;28;;8.2;4.3;25.08;85.25;6.166667;
82598;18/08/1983;1200;4.8;;21.6;;;;;;
82598;19/08/1983;0000;;28.8;;10.3;5.3;;;;
82598;19/08/1983;1200;0;;21.2;;;;;;
82598;20/08/1983;0000;;28.6;;9.4;10.3;;;;
82598;20/08/1983;1200;0;;24.6;;;;;;
82598;21/08/1983;0000;;28.6;;10;;;;;
82598;21/08/1983;1200;0;;22.8;;;;;;
82598;22/08/1983;0000;;28.6;;9.3;6.5;;;;
82598;22/08/1983;1200;0;;21.6;;;;;;
82598;23/08/1983;0000;;29.2;;8.3;6.2;;;;
82598;23/08/1983;1200;0;;21.2;;;;;;
82598;24/08/1983;0000;;28.6;;8.4;7.3;24.92;89.5;6.533333;
82598;24/08/1983;1200;2.6;;21.8;;;;;;
82598;25/08/1983;0000;;28;;5.3;;;;;
82598;25/08/1983;1200;10.4;;21.6;;;;;;
82598;26/08/1983;0000;;28.2;;5.5;4.5;;;;
82598;26/08/1983;1200;0;;21.6;;;;;;
82598;27/08/1983;0000;;28;;5.4;7.5;24.8;93.25;6.2;
82598;27/08/1983;1200;4.5;;21.6;;;;;;
82598;28/08/1983;0000;;25.2;;0;3.7;22.88;93.75;5.766667;
82598;28/08/1983;1200;10.9;;21.2;;;;;;
82598;29/08/1983;0000;;28.2;;8.5;2.4;;;;
82598;29/08/1983;1200;15.1;;20.8;;;;;;
82598;30/08/1983;0000;;28.2;;9.3;;25.2;86.75;5.2;
82598;30/08/1983;1200;7.5;;21.6;;;;;;
82598;31/08/1983;0000;;28;;9.8;6.5;24.56;89.5;6.3;
82598;31/08/1983;1200;0;;20;;;;;;
82598;01/09/1983;0000;;27.4;;8.6;5.7;;;;
82598;01/09/1983;1200;0;;24;;;;;;
82598;02/09/1983;0000;;28.6;;9.1;6.6;;;;
82598;02/09/1983;1200;0;;24.8;;;;;;
82598;03/09/1983;0000;;29.2;;8.1;;;;;
82598;03/09/1983;1200;0;;25.2;;;;;;
82598;04/09/1983;0000;;30;;8.6;8.1;;;;
82598;04/09/1983;1200;0;;24.8;;;;;;
82598;05/09/1983;0000;;29.6;;9.5;10;;;;
82598;05/09/1983;1200;0;;23.4;;;;;;
82598;06/09/1983;0000;;30;;9.5;;;;;
82598;06/09/1983;1200;0;;24.8;;;;;;
82598;07/09/1983;0000;;30;;9.5;7;;;;
82598;07/09/1983;1200;0;;24;;;;;;
82598;08/09/1983;0000;;30.6;;9.8;17.6;26.76;86;7.3;
82598;08/09/1983;1200;0;;24.6;;;;;;
82598;09/09/1983;0000;;29.2;;9.6;17.5;;;;
82598;09/09/1983;1200;0;;25.2;;;;;;
82598;10/09/1983;0000;;30.6;;9.7;8.3;25.56;91;6.4;
82598;10/09/1983;1200;0;;20.4;;;;;;
82598;11/09/1983;0000;;30.2;;10.4;7.7;;;;
82598;11/09/1983;1200;0;;20.6;;;;;;
82598;12/09/1983;0000;;29.2;;7.8;7.5;;;;
82598;12/09/1983;1200;0.9;;22.2;;;;;;
82598;13/09/1983;0000;;29;;7.4;;;;;
82598;13/09/1983;1200;2.8;;20.4;;;;;;
82598;14/09/1983;0000;;30.4;;9.2;4.7;26.24;87.25;5.1;
