--------------------
BDMEP - INMET
--------------------
Estação           : PORTO ALEGRE - RS (OMM: 83967)
Latitude  (graus) : -30.05
Longitude (graus) : -51.16
Altitude  (metros): 46.97
Estação Operante
Inicio de operação: 09/12/1909
Periodo solicitado dos dados: 01/01/1980 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83967;01/01/1980;0000;;23;;9.8;5.5;18.34;65;3.8;
83967;01/01/1980;1200;0;;14.8;;;;;;
83967;02/01/1980;0000;;24.1;;10.8;4.8;18.9;69.5;2.2;
83967;02/01/1980;1200;0;;13.8;;;;;;
83967;03/01/1980;0000;;28.4;;11.7;5;21.24;59;2.166667;
83967;03/01/1980;1200;0;;14.5;;;;;;
83967;04/01/1980;0000;;28;;11.1;7.7;22.22;63.75;3.333333;
83967;04/01/1980;1200;0;;15.9;;;;;;
83967;05/01/1980;0000;;28.9;;11.3;10.3;23.34;69;3.766667;
83967;05/01/1980;1200;0;;19.5;;;;;;
83967;06/01/1980;0000;;33.3;;6.3;8;25.6;63.75;1.766667;
83967;06/01/1980;1200;0;;21;;;;;;
83967;07/01/1980;0000;;30.7;;7.9;5.6;25.54;62.5;3.5;
83967;07/01/1980;1200;0.6;;20.9;;;;;;
83967;08/01/1980;0000;;29.5;;1.8;6.2;23.74;78.25;2.833333;
83967;08/01/1980;1200;0;;20.4;;;;;;
83967;09/01/1980;0000;;22.2;;0;3.3;21.08;90;3.4;
83967;09/01/1980;1200;14.5;;19.6;;;;;;
83967;10/01/1980;0000;;27;;6.3;1.7;22.92;71.75;3.666667;
83967;10/01/1980;1200;25.2;;19.8;;;;;;
83967;11/01/1980;0000;;31.3;;9.5;4.8;24.26;71;3.733333;
83967;11/01/1980;1200;0.1;;17.7;;;;;;
83967;12/01/1980;0000;;27;;6.8;4.8;23.26;74.25;3.633333;
83967;12/01/1980;1200;0;;20.7;;;;;;
83967;13/01/1980;0000;;28.6;;12.2;6;23.6;68.75;4.966667;
83967;13/01/1980;1200;0;;20;;;;;;
83967;14/01/1980;0000;;27.3;;12.1;8.8;23;67.5;5.033333;
83967;14/01/1980;1200;0;;19.8;;;;;;
83967;15/01/1980;0000;;28.4;;12.1;9.6;23.26;70.75;5.833333;
83967;15/01/1980;1200;0;;19;;;;;;
83967;16/01/1980;0000;;27.5;;5.6;11.5;23.08;80;4.633333;
83967;16/01/1980;1200;1.8;;20.7;;;;;;
83967;17/01/1980;0000;;30.2;;8.5;6.9;25.1;74.5;3.4;
83967;17/01/1980;1200;0;;21.2;;;;;;
83967;18/01/1980;0000;;29.3;;3.5;6.5;25.4;72.5;2.566667;
83967;18/01/1980;1200;0;;22.4;;;;;;
83967;19/01/1980;0000;;32.2;;9.9;4.8;25.94;68.25;2;
83967;19/01/1980;1200;0;;21.4;;;;;;
83967;21/01/1980;0000;;30.3;;12.3;7.3;24.14;65;2.333333;
83967;21/01/1980;1200;0;;19;;;;;;
83967;22/01/1980;0000;;34;;12;7.9;26.72;52;3.1;
83967;22/01/1980;1200;0;;19.1;;;;;;
83967;23/01/1980;0000;;36.2;;7.3;6.5;29.76;47.5;3.933333;
83967;23/01/1980;1200;0;;22.2;;;;;;
83967;25/01/1980;0000;;25.4;;11.1;6.2;19.98;66.25;3.533333;
83967;25/01/1980;1200;9.1;;12.8;;;;;;
83967;26/01/1980;0000;;29;;12.3;7.8;22.82;67.25;1.333333;
83967;26/01/1980;1200;0;;16.6;;;;;;
83967;27/01/1980;0000;;32.2;;10.7;5;24.08;70;2.366667;
83967;27/01/1980;1200;0;;17.6;;;;;;
83967;28/01/1980;0000;;27.5;;4.3;6;23.5;74.75;3.466667;
83967;28/01/1980;1200;0;;22.2;;;;;;
83967;29/01/1980;0000;;29.8;;12.5;4.6;23.66;65.25;4;
83967;29/01/1980;1200;0;;18.5;;;;;;
83967;30/01/1980;0000;;32.6;;9.1;10;26.1;68.75;2.066667;
83967;30/01/1980;1200;0;;19.4;;;;;;
83967;03/02/1980;0000;;30;;12.4;6;24.26;71;2.766667;
83967;03/02/1980;1200;0;;20.4;;;;;;
83967;04/02/1980;0000;;30.5;;10.6;6.1;24.14;66.75;2.4;
83967;04/02/1980;1200;0;;18.6;;;;;;
83967;05/02/1980;0000;;32.2;;3.3;6.8;25.06;78.5;0.6;
83967;05/02/1980;1200;0;;21.9;;;;;;
83967;06/02/1980;0000;;30.9;;9.9;4.1;25.96;70;5.133333;
83967;06/02/1980;1200;6.3;;22.6;;;;;;
83967;07/02/1980;0000;;29.1;;9.5;4.8;24.26;74;2.9;
83967;07/02/1980;1200;0;;19.8;;;;;;
83967;08/02/1980;0000;;30.6;;11.2;4.8;24.36;64.75;1.966667;
83967;08/02/1980;1200;0;;19.6;;;;;;
83967;09/02/1980;0000;;34;;11.7;7.3;26.9;66.75;2.666667;
83967;09/02/1980;1200;0;;21.9;;;;;;
83967;11/02/1980;0000;;26.4;;4.5;4.1;22.76;73.75;2.666667;
83967;11/02/1980;1200;12.2;;20.8;;;;;;
83967;12/02/1980;0000;;31.9;;12.1;4.7;25.22;73.5;2.266667;
83967;12/02/1980;1200;0;;18.8;;;;;;
83967;13/02/1980;0000;;29.6;;9.5;4.1;25.44;78.25;4.066667;
83967;13/02/1980;1200;0;;20.8;;;;;;
83967;14/02/1980;0000;;30.6;;12.1;5.1;25.16;69.5;5.4;
83967;14/02/1980;1200;0;;21.8;;;;;;
83967;15/02/1980;0000;;31.8;;11.8;8.2;25.8;72.5;2.633333;
83967;15/02/1980;1200;0;;20.7;;;;;;
83967;16/02/1980;0000;;34.3;;8.3;6.1;25.36;75.25;3.3;
83967;16/02/1980;1200;0;;21.4;;;;;;
83967;17/02/1980;0000;;25;;0;4.7;22.66;81.75;2.8;
83967;17/02/1980;1200;42.2;;21;;;;;;
83967;18/02/1980;0000;;24.7;;10.1;4.6;21.12;65.25;4.133333;
83967;18/02/1980;1200;1.8;;18.2;;;;;;
83967;19/02/1980;0000;;25.4;;5.6;9;21.5;66;4.233333;
83967;19/02/1980;1200;;;17.6;;;;;;
83967;21/02/1980;0000;;25.5;;5.4;7;22.9;84.75;2.966667;
83967;21/02/1980;1200;2.5;;20.4;;;;;;
83967;22/02/1980;0000;;28;;7.3;3.5;23.64;79.5;1.566667;
83967;22/02/1980;1200;2.4;;20.8;;;;;;
83967;23/02/1980;0000;;28.2;;8;3.5;23.88;82.25;4.866667;
83967;23/02/1980;1200;0;;20.7;;;;;;
83967;24/02/1980;0000;;31.1;;6.4;3.5;23.52;85.25;2.133333;
83967;24/02/1980;1200;1.5;;21;;;;;;
83967;25/02/1980;0000;;27.8;;1.6;3.5;24;82.75;0.533333;
83967;25/02/1980;1200;17.5;;20.5;;;;;;
83967;26/02/1980;0000;;29.7;;9.7;1.7;25.74;74.25;2.166667;
83967;26/02/1980;1200;0.6;;21.6;;;;;;
83967;27/02/1980;0000;;30.4;;7.7;4;25.64;79.25;1.466667;
83967;27/02/1980;1200;0;;22.6;;;;;;
83967;28/02/1980;0000;;32.2;;9.4;3.8;25.8;74.25;2.133333;
83967;28/02/1980;1200;0;;21.1;;;;;;
83967;29/02/1980;0000;;33.2;;5.3;6.5;27.68;73.25;2.433333;
83967;29/02/1980;1200;0;;23.3;;;;;;
83967;03/03/1980;0000;;26.2;;1.7;1.9;24.3;86.75;1.966667;
83967;03/03/1980;1200;0.6;;21.6;;;;;;
83967;05/03/1980;0000;;33.8;;10;2;26.66;73.75;2.633333;
83967;05/03/1980;1200;0;;21.8;;;;;;
83967;06/03/1980;0000;;30.7;;6.2;4.4;26.4;82;2.066667;
83967;06/03/1980;1200;0;;23.6;;;;;;
83967;07/03/1980;0000;;29;;6.2;3.6;24.94;83.5;2;
83967;07/03/1980;1200;0;;22.5;;;;;;
83967;09/03/1980;0000;;30.9;;9.7;3.3;25.54;76.25;1.966667;
83967;09/03/1980;1200;0;;21.2;;;;;;
83967;10/03/1980;0000;;32.8;;8.7;3.7;26.84;62.25;1.866667;
83967;10/03/1980;1200;0;;21.2;;;;;;
83967;11/03/1980;0000;;27.9;;0.2;5;25.2;85.75;2.2;
83967;11/03/1980;1200;0;;23.5;;;;;;
83967;12/03/1980;0000;;25.5;;0;3;23.8;90;1.333333;
83967;12/03/1980;1200;6.8;;23.1;;;;;;
83967;13/03/1980;0000;;27;;8.2;1.7;23.38;76.75;3.2;
83967;13/03/1980;1200;4.6;;21.5;;;;;;
83967;14/03/1980;0000;;27;;10.5;5.3;22.38;73.25;3.233333;
83967;14/03/1980;1200;0;;18.6;;;;;;
83967;15/03/1980;0000;;28;;10.6;7.3;23.68;72.75;4.7;
83967;15/03/1980;1200;0;;20.2;;;;;;
83967;16/03/1980;0000;;28.7;;10.3;7.2;24.24;73.5;3.7;
83967;16/03/1980;1200;0;;20.6;;;;;;
83967;18/03/1980;0000;;31.8;;7.9;2.7;25.96;84;3.1;
83967;18/03/1980;1200;0.8;;23.5;;;;;;
83967;19/03/1980;0000;;32.3;;8.4;3.3;26.3;80.75;1.8;
83967;19/03/1980;1200;0;;22.2;;;;;;
83967;20/03/1980;0000;;32.8;;8.6;3.7;26.2;78;1.7;
83967;20/03/1980;1200;0;;22.6;;;;;;
83967;21/03/1980;0000;;33.9;;10;5;26.96;72.75;2.466667;
83967;21/03/1980;1200;0;;21.6;;;;;;
83967;22/03/1980;0000;;36.2;;10.1;5.4;28.78;65;1.566667;
83967;22/03/1980;1200;0;;22.2;;;;;;
83967;23/03/1980;0000;;35.6;;10;6.1;29.5;66.25;1.6;
83967;23/03/1980;1200;0;;24.8;;;;;;
83967;24/03/1980;0000;;35.8;;8.9;6;29.52;63.75;1.766667;
83967;24/03/1980;1200;0;;24.6;;;;;;
83967;25/03/1980;0000;;31.5;;3.6;6.5;25.64;79.5;2.6;
83967;25/03/1980;1200;0;;22.9;;;;;;
83967;26/03/1980;0000;;27.8;;2.3;4;24.9;83;1.366667;
83967;26/03/1980;1200;4.7;;22.5;;;;;;
83967;27/03/1980;0000;;29.6;;0.5;2.2;25.38;79.5;2.1;
83967;27/03/1980;1200;0;;23.2;;;;;;
83967;28/03/1980;0000;;29.2;;0.1;3.8;25.54;75.25;1.6;
83967;28/03/1980;1200;1.4;;23;;;;;;
83967;29/03/1980;0000;;26.2;;0.5;3;23.76;86.5;5.466667;
83967;29/03/1980;1200;0;;21.6;;;;;;
83967;30/03/1980;0000;;24.3;;2.2;3.5;20.8;69.5;2.633333;
83967;30/03/1980;1200;9.4;;19.3;;;;;;
83967;31/03/1980;0000;;26.2;;8.9;5.8;21;65.5;4.333333;
83967;31/03/1980;1200;0;;16.6;;;;;;
83967;01/04/1980;0000;;26.6;;9.5;8;21.44;72.25;3.133333;
83967;01/04/1980;1200;0;;17.4;;;;;;
83967;02/04/1980;0000;;27.2;;8.2;6.5;21.84;72;3.466667;
83967;02/04/1980;1200;0;;17.5;;;;;;
83967;03/04/1980;0000;;28.6;;9.8;6.5;22.16;73.75;2;
83967;03/04/1980;1200;0;;17.4;;;;;;
83967;04/04/1980;0000;;28.5;;9.2;7;22.62;79;2.1;
83967;04/04/1980;1200;0;;17.8;;;;;;
83967;05/04/1980;0000;;27.8;;8.4;4.6;23.2;76.75;2.2;
83967;05/04/1980;1200;0;;20.6;;;;;;
83967;06/04/1980;0000;;27;;8.8;2.7;22.2;76.75;2.366667;
83967;06/04/1980;1200;0;;18.3;;;;;;
83967;07/04/1980;0000;;27.3;;6.5;3.7;22.84;72.5;3.8;
83967;07/04/1980;1200;0;;18.8;;;;;;
83967;08/04/1980;0000;;29.1;;5.3;6.4;24.46;68;3.6;
83967;08/04/1980;1200;0;;20.3;;;;;;
83967;09/04/1980;0000;;30.8;;9.7;5.6;25.72;62.5;2.333333;
83967;09/04/1980;1200;0;;21.5;;;;;;
83967;10/04/1980;0000;;33.8;;6.7;6.4;25.34;;2.533333;
83967;10/04/1980;1200;0;;21;;;;;;
83967;12/04/1980;0000;;25.4;;0;4.6;20.34;90.25;5.566667;
83967;12/04/1980;1200;89.3;;18.7;;;;;;
83967;14/04/1980;0000;;18;;0;4.4;14.84;74;2.433333;
83967;14/04/1980;1200;0;;13.2;;;;;;
83967;15/04/1980;0000;;18;;9.3;2;12.8;73.75;2.066667;
83967;15/04/1980;1200;1.1;;9.8;;;;;;
83967;16/04/1980;0000;;20.9;;9.7;2.8;14.16;67.25;2.1;
83967;16/04/1980;1200;0;;8.2;;;;;;
83967;19/04/1980;0000;;24;;0;2.6;21.8;89.25;0.933333;
83967;19/04/1980;1200;0;;20.5;;;;;;
83967;20/04/1980;0000;;27.4;;3.7;1.6;22.7;85;4.2;
83967;20/04/1980;1200;0.2;;19.8;;;;;;
83967;21/04/1980;0000;;30.5;;6.7;2.6;23.88;82.25;0.766667;
83967;21/04/1980;1200;0;;21;;;;;;
83967;22/04/1980;0000;;31.6;;9.4;2.8;25.18;62.5;1.533333;
83967;22/04/1980;1200;0;;20.3;;;;;;
83967;23/04/1980;0000;;32.4;;9.3;4.3;25.42;71.75;2.266667;
83967;23/04/1980;1200;0;;19.8;;;;;;
83967;24/04/1980;0000;;31.4;;9;4.9;25.14;68.75;1.866667;
83967;24/04/1980;1200;0;;20;;;;;;
83967;28/04/1980;0000;;30.2;;8.6;4;23.78;65.25;0.533333;
83967;28/04/1980;1200;0;;18.8;;;;;;
83967;29/04/1980;0000;;31;;8.8;4.5;24;67;1.2;
83967;29/04/1980;1200;0;;17.5;;;;;;
83967;30/04/1980;0000;;26.8;;0.4;4.5;20.82;76.25;3.333333;
83967;30/04/1980;1200;0;;18.1;;;;;;
83967;02/05/1980;0000;;18.4;;2.4;1;15.14;81.25;2.2;
83967;02/05/1980;1200;38.8;;12.8;;;;;;
83967;03/05/1980;0000;;17.6;;8;2.1;13.86;70;3.4;
83967;03/05/1980;1200;1.6;;12.4;;;;;;
83967;04/05/1980;0000;;17.6;;7.2;2.7;13.38;69.75;3.033333;
83967;04/05/1980;1200;0;;9.6;;;;;;
83967;05/05/1980;0000;;20;;6.8;2.7;13.66;78.75;1.266667;
83967;05/05/1980;1200;0;;10.3;;;;;;
83967;06/05/1980;0000;;22.8;;7.2;18.9;15.22;77.25;0.7;
83967;06/05/1980;1200;0;;10.4;;;;;;
83967;08/05/1980;0000;;23.4;;1.9;0.2;18.84;88;0.6;
83967;08/05/1980;1200;13.5;;14.5;;;;;;
83967;10/05/1980;0000;;24.7;;5;2.7;19.54;82.75;1.133333;
83967;10/05/1980;1200;12.2;;17.2;;;;;;
83967;11/05/1980;0000;;26.4;;7.8;0.8;20.24;76.75;1.6;
83967;11/05/1980;1200;0;;15.7;;;;;;
83967;12/05/1980;0000;;28.4;;9;3.5;21.2;79.5;1.9;
83967;12/05/1980;1200;0;;15.6;;;;;;
83967;13/05/1980;0000;;28.6;;8.5;3.5;21.6;78.75;0.266667;
83967;13/05/1980;1200;0;;16;;;;;;
83967;14/05/1980;0000;;28.8;;8;2.7;22.38;72.75;0.933333;
83967;14/05/1980;1200;0;;17.4;;;;;;
83967;15/05/1980;0000;;28.2;;6.4;2.9;22.88;78.75;0.833333;
83967;15/05/1980;1200;0;;19.2;;;;;;
83967;17/05/1980;0000;;22;;0.3;1.8;19.12;80.75;3.133333;
83967;17/05/1980;1200;0.2;;17;;;;;;
83967;18/05/1980;0000;;24.8;;3.6;2.9;20.92;85;0;
83967;18/05/1980;1200;0;;17.8;;;;;;
83967;19/05/1980;0000;;24.8;;3.2;1.4;20.66;86.5;0.766667;
83967;19/05/1980;1200;8.4;;18.1;;;;;;
83967;20/05/1980;0000;;26.4;;4.5;1.6;21.4;82.25;1.366667;
83967;20/05/1980;1200;0.1;;17.7;;;;;;
83967;22/05/1980;0000;;20.3;;0.4;1.4;18.22;85.75;1.966667;
83967;22/05/1980;1200;5.5;;17;;;;;;
83967;23/05/1980;0000;;21.3;;7.9;1.6;16.54;84.25;2.033333;
83967;23/05/1980;1200;0.1;;12.9;;;;;;
83967;24/05/1980;0000;;23.9;;7.7;2.6;17.86;83.25;1.1;
83967;24/05/1980;1200;0;;13.7;;;;;;
83967;25/05/1980;0000;;21.1;;5.2;1.8;16.74;86.75;1.933333;
83967;25/05/1980;1200;0;;14.2;;;;;;
83967;26/05/1980;0000;;25;;8;1.9;18.54;78.5;0;
83967;26/05/1980;1200;0;;14.1;;;;;;
83967;27/05/1980;0000;;26.2;;8.5;2.7;20.02;69.75;1.666667;
83967;27/05/1980;1200;0;;13.4;;;;;;
83967;30/05/1980;0000;;22.3;;2.3;1.7;19.46;87.5;1.766667;
83967;30/05/1980;1200;0;;17.6;;;;;;
83967;02/06/1980;0000;;14.9;;7.8;1.9;11.16;68.75;3.466667;
83967;02/06/1980;1200;0;;7.8;;;;;;
83967;10/06/1980;0000;;27.5;;4.1;3.3;20.1;78;0.866667;
83967;10/06/1980;1200;0;;16;;;;;;
83967;12/06/1980;0000;;19;;0;0.4;17.96;92.75;0.9;
83967;12/06/1980;1200;25.3;;16.4;;;;;;
83967;14/06/1980;0000;;14.4;;7.5;2.6;11.62;78.25;2.133333;
83967;14/06/1980;1200;0;;10.3;;;;;;
83967;15/06/1980;0000;;17.2;;8.3;1.6;10.7;80.75;0.833333;
83967;15/06/1980;1200;0;;5.4;;;;;;
83967;16/06/1980;0000;;21.2;;8.4;1.9;12.46;80.5;0.433333;
83967;16/06/1980;1200;0;;7;;;;;;
83967;18/06/1980;0000;;26.7;;5.7;2.2;19.7;66.5;2.366667;
83967;18/06/1980;1200;0;;12.8;;;;;;
83967;20/06/1980;0000;;17.4;;0;2.8;14.22;66.75;4.433333;
83967;20/06/1980;1200;5;;12;;;;;;
83967;21/06/1980;0000;;18.2;;4.3;5.8;14.54;69.25;4.2;
83967;21/06/1980;1200;0.1;;12.1;;;;;;
83967;22/06/1980;0000;;18.3;;7.4;4;13.34;77.75;2.866667;
83967;22/06/1980;1200;0;;9.6;;;;;;
83967;23/06/1980;0000;;20.4;;7.2;3.8;13.94;71;2.2;
83967;23/06/1980;1200;0;;8.1;;;;;;
83967;10/07/1980;0000;;14.2;;4.1;2.7;10.32;82.75;2.633333;
83967;10/07/1980;1200;0;;8.5;;;;;;
83967;21/07/1980;0000;;16.4;;7.5;1.2;10.9;81.75;1.3;
83967;21/07/1980;1200;46.4;;9.1;;;;;;
83967;23/07/1980;0000;;18.5;;8.7;2.1;11.84;72.5;1.766667;
83967;23/07/1980;1200;0;;7.4;;;;;;
83967;27/07/1980;0000;;19.3;;9.5;6.2;13.94;65.25;2.933333;
83967;27/07/1980;1200;8.6;;11.8;;;;;;
83967;28/07/1980;0000;;18.9;;2.6;4;15.06;85.25;2.433333;
83967;28/07/1980;1200;0;;9.2;;;;;;
83967;29/07/1980;0000;;17.4;;0;1.5;12.3;86.75;5.3;
83967;29/07/1980;1200;59.6;;9.7;;;;;;
83967;05/08/1980;0000;;22;;2.2;4.8;18;82.25;1.7;
83967;05/08/1980;1200;0;;15.5;;;;;;
83967;06/08/1980;0000;;19.3;;2.8;2.2;16.7;77.75;3.2;
83967;06/08/1980;1200;6.6;;15.3;;;;;;
83967;07/08/1980;0000;;22.8;;8;2.8;17.58;69.75;1.933333;
83967;07/08/1980;1200;0;;15.4;;;;;;
83967;08/08/1980;0000;;18.9;;8.1;3.9;15;75.75;2;
83967;08/08/1980;1200;0;;13.7;;;;;;
83967;09/08/1980;0000;;19.6;;7.2;2.9;13.66;83.25;2.466667;
83967;09/08/1980;1200;0;;8.5;;;;;;
83967;12/08/1980;0000;;16.3;;8.5;3;10.18;76;3.766667;
83967;12/08/1980;1200;0;;2.3;;;;;;
83967;13/08/1980;0000;;22.6;;6.2;4;14.64;74.25;1.566667;
83967;13/08/1980;1200;0;;9.2;;;;;;
83967;14/08/1980;0000;;20.8;;8.4;2.3;14.92;81;2.966667;
83967;14/08/1980;1200;0;;10.5;;;;;;
83967;15/08/1980;0000;;26.1;;6.9;2.3;17.88;80.5;0.5;
83967;15/08/1980;1200;0;;12.1;;;;;;
83967;18/08/1980;0000;;19.4;;2.3;2.3;15.94;83.75;4.3;
83967;18/08/1980;1200;0.2;;12;;;;;;
83967;19/08/1980;0000;;17.2;;0;2.3;15.68;92.75;4.366667;
83967;19/08/1980;1200;4.6;;13.9;;;;;;
83967;20/08/1980;0000;;17.7;;0;0.7;15.72;89.25;3.633333;
83967;20/08/1980;1200;0.7;;14.4;;;;;;
83967;23/08/1980;0000;;16.3;;10;1;9.98;65.5;2.366667;
83967;23/08/1980;1200;1;;6.3;;;;;;
83967;25/08/1980;0000;;18.2;;8.1;2;12.74;72;1.766667;
83967;25/08/1980;1200;0;;8.5;;;;;;
83967;26/08/1980;0000;;13.5;;3.3;3.1;10.74;62.25;7.9;
83967;26/08/1980;1200;0;;8.2;;;;;;
83967;27/08/1980;0000;;13.9;;4.9;4.4;9.78;71.5;2.6;
83967;27/08/1980;1200;0;;6.2;;;;;;
83967;29/08/1980;0000;;24.2;;8.9;3.7;16.94;61.75;2.2;
83967;29/08/1980;1200;0;;8.7;;;;;;
83967;30/08/1980;0000;;26.2;;5.7;4.3;19.32;68.75;0.433333;
83967;30/08/1980;1200;0;;12.4;;;;;;
83967;31/08/1980;0000;;22;;0;4;19.92;88.75;2.633333;
83967;31/08/1980;1200;3;;17.8;;;;;;
83967;01/09/1980;0000;;20.4;;0;1;15.68;89.75;2.133333;
83967;01/09/1980;1200;14.8;;14.2;;;;;;
83967;03/09/1980;0000;;22.4;;5.8;0.8;15.88;66.25;3.833333;
83967;03/09/1980;1200;0;;13.5;;;;;;
83967;05/09/1980;0000;;17.2;;9.7;4.6;10.28;68;1.833333;
83967;05/09/1980;1200;0;;5;;;;;;
83967;06/09/1980;0000;;22.8;;9.4;2.8;14;53.5;1.366667;
83967;06/09/1980;1200;0;;5.7;;;;;;
83967;07/09/1980;0000;;27.8;;9.4;5.1;16.56;64;1.1;
83967;07/09/1980;1200;0;;7.6;;;;;;
83967;12/09/1980;0000;;24.3;;7.7;2.5;16.06;80;2.766667;
83967;12/09/1980;1200;0;;10.6;;;;;;
83967;14/09/1980;0000;;29.1;;1.9;4.4;20.98;78.5;2.2;
83967;14/09/1980;1200;0;;16.5;;;;;;
83967;16/09/1980;0000;;12.8;;8.1;1.3;9.5;61.5;6.3;
83967;16/09/1980;1200;7;;5.8;;;;;;
83967;17/09/1980;0000;;16.5;;9.9;2.2;11.6;69.75;3.866667;
83967;17/09/1980;1200;0;;5.5;;;;;;
83967;22/09/1980;0000;;16.7;;9.4;3.2;11.18;65;2.966667;
83967;22/09/1980;1200;0;;8.3;;;;;;
83967;24/09/1980;0000;;17.7;;9.9;2.7;12.58;71.75;2.033333;
83967;24/09/1980;1200;0;;8.3;;;;;;
83967;25/09/1980;0000;;17.4;;9.3;3.3;12.78;72.25;3.166667;
83967;25/09/1980;1200;0;;8.2;;;;;;
83967;26/09/1980;0000;;20;;10.7;5.1;14.58;57;6.533333;
83967;26/09/1980;1200;0;;9.3;;;;;;
83967;27/09/1980;0000;;20.3;;0;9.8;15.76;62;3.966667;
83967;27/09/1980;1200;0;;11.3;;;;;;
83967;30/09/1980;0000;;28.1;;10.2;2.7;20.6;72;3.533333;
83967;30/09/1980;1200;0.6;;16.2;;;;;;
83967;01/10/1980;0000;;31.8;;5.5;5.5;22.88;70.5;1.466667;
83967;01/10/1980;1200;0;;15.2;;;;;;
