--------------------
BDMEP - INMET
--------------------
Estação           : CURITIBA - PR (OMM: 83842)
Latitude  (graus) : -25.43
Longitude (graus) : -49.26
Altitude  (metros): 923.50
Estação Operante
Inicio de operação: 01/01/1911
Periodo solicitado dos dados: 01/01/1980 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83842;01/01/1980;0000;;24.6;;11.7;7.4;15.94;69.25;3.366667;
83842;01/01/1980;1200;0;;9;;;;;;
83842;02/01/1980;0000;;25;;8.1;1.9;16.52;76.75;1.7;
83842;02/01/1980;1200;0;;11.7;;;;;;
83842;03/01/1980;0000;;27.1;;11.2;2.9;18.92;71;1.833333;
83842;03/01/1980;1200;0;;14.1;;;;;;
83842;04/01/1980;0000;;27.4;;11.2;5.3;18.86;66.25;2.7;
83842;04/01/1980;1200;0;;12.8;;;;;;
83842;05/01/1980;0000;;23.8;;12.3;3.2;17.78;73;4.5;
83842;05/01/1980;1200;0;;13.6;;;;;;
83842;06/01/1980;0000;;28.8;;7.8;5.7;20.34;76.75;2.766667;
83842;06/01/1980;1200;0;;15;;;;;;
83842;12/01/1980;0000;;24.8;;11.5;2.1;18.6;74;2.933333;
83842;12/01/1980;1200;0;;13.7;;;;;;
83842;15/01/1980;0000;;22.2;;4.3;2.2;17.34;80;4.066667;
83842;15/01/1980;1200;0.9;;13.4;;;;;;
83842;19/01/1980;0000;;29;;9.4;2;21.22;76.5;4.766667;
83842;19/01/1980;1200;0.1;;17.5;;;;;;
83842;20/01/1980;0000;;26.6;;3.8;4.2;20.86;78.75;3.966667;
83842;20/01/1980;1200;9.4;;17;;;;;;
83842;21/01/1980;0000;;29.1;;9.6;3;20.92;79;2.566667;
83842;21/01/1980;1200;2.4;;15.9;;;;;;
83842;22/01/1980;0000;;28.8;;10.7;3.2;23.52;62.75;3.9;
83842;22/01/1980;1200;0;;17.3;;;;;;
83842;23/01/1980;0000;;27;;7.3;6.1;22.32;71;5.333333;
83842;23/01/1980;1200;3.8;;18.4;;;;;;
