"CIÊNCIA, TECNOLOGIA E SOCIEDADEnota",PRÁTICAS DE LEITURA E ESCRITA Inota,QUÍMICA GERALnota,CÁLCULO Inota,VETORES E GEOMETRIA ANALÍTICAnota,PRÉ-CÁLCULOnota,LÓGICA DE PROGRAMAÇÃOnota
2.10,4.20,0.50,0.00,0.00,3.20,0.10
1.30,2.10,5.10,0.20,5.00,6.30,0.70
1.10,0.60,0.00,0.80,0.50,5.10,0.00
2.20,3.80,1.80,0.80,0.60,3.70,0.00
5.50,5.20,5.10,2.20,2.60,5.90,0.00
7.10,6.90,8.30,0.20,6.10,7.50,7.20
5.40,5.70,7.40,1.80,5.60,5.40,1.00
9.00,6.00,9.40,5.00,8.60,6.50,8.80
6.90,5.70,6.10,4.30,0.90,0.60,8.20
9.30,7.60,8.20,3.80,9.30,8.30,9.80
6.60,6.30,5.40,6.60,7.30,6.00,9.30
6.10,5.80,5.10,0.00,0.10,0.70,5.80
8.80,7.50,9.60,7.80,9.70,9.70,9.20
5.00,5.60,5.70,0.70,4.50,5.20,9.00
8.40,7.60,9.60,5.80,9.10,9.70,9.90
7.50,5.90,7.50,0.00,5.90,5.20,2.70
8.60,6.50,9.30,1.30,8.00,8.60,9.00
6.70,6.60,9.00,0.80,5.00,4.70,1.40
7.80,7.10,8.50,0.80,6.40,6.30,6.60
8.50,6.60,9.80,6.50,10.00,9.50,9.80
8.20,7.80,8.90,0.20,7.10,5.00,8.70
7.00,5.90,7.80,1.80,5.70,6.10,8.30
8.20,6.80,7.80,1.90,5.70,5.50,9.30
7.90,5.80,5.50,5.20,5.00,1.10,1.00
7.40,6.40,6.20,0.70,0.50,7.00,1.70
6.10,7.00,9.50,3.60,7.50,8.80,6.30
7.70,6.90,6.40,9.00,6.50,6.70,9.30
8.10,5.70,5.70,6.00,5.30,6.10,8.80
7.10,5.70,6.10,9.30,5.60,6.20,9.50
8.30,5.70,5.60,5.10,2.40,5.00,1.70
7.30,7.10,8.90,2.30,9.30,7.40,9.20
7.90,7.50,8.00,9.50,9.00,4.30,8.00
9.50,7.60,9.40,6.50,9.60,9.70,8.70
5.70,6.60,5.40,1.30,5.40,5.30,7.80
7.30,6.40,7.00,0.00,4.20,8.50,7.30
7.10,6.30,6.50,1.70,6.50,5.50,4.30
5.90,7.00,5.70,7.70,6.00,5.50,6.90
2.40,5.70,3.60,0.00,1.20,1.50,0.00
6.60,7.10,6.60,0.00,4.80,2.10,0.40
9.60,7.70,9.20,6.80,9.30,9.90,9.20
7.60,6.90,8.80,2.50,5.00,8.50,1.80
9.90,7.40,9.80,6.80,9.40,8.50,8.20
6.90,5.00,7.00,2.30,8.20,8.30,0.00
7.80,7.50,9.10,2.20,7.10,5.90,10.00
8.30,6.10,7.90,2.80,8.60,5.30,9.20
5.30,6.10,6.80,1.20,1.50,7.00,9.00
8.40,6.60,9.10,2.70,5.80,5.80,7.50
8.90,7.20,9.10,7.70,9.60,9.00,8.90
5.70,5.90,7.00,10.00,5.40,8.10,8.40
6.50,6.50,7.40,0.00,2.00,2.40,0.40
6.70,7.60,7.10,0.00,1.50,5.20,5.80
5.00,6.20,2.40,0.00,1.40,4.30,0.20
8.00,6.70,7.90,5.30,7.90,7.20,8.50
7.80,7.40,9.10,5.50,8.30,9.20,8.50
7.90,7.90,8.80,4.80,8.80,6.40,9.30
6.70,8.10,7.90,0.50,6.50,5.80,8.50
5.40,5.30,5.00,5.00,4.60,4.20,5.00
5.80,5.60,6.40,1.00,1.60,6.80,6.10
8.70,6.90,7.50,1.30,5.90,5.90,5.60
7.60,7.50,6.20,9.00,6.90,6.30,7.10
10.00,7.40,7.60,8.20,7.70,7.90,9.80
8.00,7.30,8.40,0.00,5.10,4.10,6.70
7.20,6.50,8.20,4.20,7.40,8.60,8.00
6.40,5.90,8.60,4.20,7.30,7.80,8.30
8.10,7.40,7.40,0.70,5.80,6.40,6.50
5.00,5.30,2.60,0.20,1.90,1.10,2.10
8.10,6.80,6.10,2.30,2.40,5.30,8.30
6.50,7.10,9.20,1.70,9.10,10.00,5.30
7.50,5.70,6.60,4.80,6.00,7.40,7.20
9.50,8.10,9.30,3.30,9.90,9.00,10.00
7.60,7.00,7.70,9.00,7.50,8.30,8.10
8.90,7.70,8.90,0.20,7.50,7.80,8.30
6.60,6.70,7.80,9.00,5.60,7.00,7.50
8.30,7.40,9.00,1.60,7.00,9.40,-
9.60,7.90,9.90,8.00,10.00,9.90,10.00
6.40,6.10,9.00,2.50,8.30,8.00,8.80
5.80,5.30,5.20,2.60,5.60,4.60,6.00
8.90,6.40,6.80,6.60,6.30,4.50,7.80
8.00,7.30,8.20,1.30,6.60,7.30,-
8.20,7.50,9.00,5.80,9.90,8.30,6.00
6.40,5.00,5.40,0.00,0.80,2.80,0.00
7.90,6.10,5.00,0.00,2.40,0.60,1.40
7.80,5.90,7.00,0.00,0.90,1.60,8.20
7.00,5.00,7.20,2.80,5.30,5.00,7.40
7.20,6.70,7.30,2.30,5.10,6.30,9.70
8.90,6.20,7.20,8.10,8.20,5.00,3.00
6.40,8.20,8.10,0.30,6.50,4.30,5.80
7.90,7.20,8.40,7.50,6.40,5.80,7.70
9.10,5.90,7.10,0.00,4.60,1.70,4.10
5.00,5.90,5.00,3.60,4.70,1.40,3.20
8.00,7.40,5.60,0.00,1.60,0.60,-
5.70,6.20,6.20,6.50,1.10,2.80,7.00
5.90,6.80,6.40,7.50,6.80,2.50,7.30
2.50,5.90,1.70,0.00,1.40,5.50,-
8.70,7.70,9.20,5.10,9.10,7.30,8.80
7.70,5.80,8.30,4.20,8.00,6.20,9.90
8.00,7.50,6.80,5.60,7.70,6.90,7.40
9.70,7.00,8.80,5.10,8.90,5.80,10.00
9.00,5.70,7.10,8.10,5.20,7.20,6.50
7.70,7.10,9.40,3.80,6.80,9.40,9.30
6.40,5.90,9.10,2.30,7.30,6.30,-
8.60,6.80,8.20,0.00,5.80,6.70,7.70
7.80,6.20,6.90,8.10,5.60,5.00,5.70
8.10,7.40,9.90,4.30,9.40,8.50,8.30
8.10,7.50,7.70,1.00,6.20,5.60,6.60
9.20,7.80,9.30,3.00,10.00,8.30,9.50
7.80,7.20,8.90,5.00,8.10,9.10,8.90
5.60,6.60,5.50,0.00,1.80,7.30,0.30
5.80,7.20,8.00,0.00,7.80,5.30,7.00
8.50,5.10,6.20,9.00,7.60,6.20,-
8.50,8.00,9.70,0.40,5.00,6.50,-
7.10,6.90,8.00,0.00,7.00,7.20,10.00
9.20,8.20,9.60,5.30,9.80,8.70,7.90
6.80,6.30,6.70,0.00,1.20,2.50,5.70
6.00,7.60,8.50,0.00,5.20,8.30,6.70
5.70,6.30,5.50,6.30,2.70,5.00,0.00
6.90,6.20,7.20,8.80,7.70,5.00,6.30
9.00,8.20,7.20,9.20,8.80,6.10,8.40
10.00,8.10,8.30,9.80,7.20,7.50,7.00
6.80,6.60,5.90,9.10,6.60,6.70,8.70
6.80,6.40,6.80,7.00,6.80,5.40,5.30
6.90,5.20,5.70,0.40,2.50,4.30,7.60
1.50,5.20,5.00,2.30,4.30,3.50,5.30
7.50,7.80,7.30,5.80,5.90,5.10,6.80
5.60,6.90,7.00,7.40,5.40,7.10,7.50
5.40,6.10,5.80,5.70,2.90,4.60,0.30
9.40,7.30,7.30,6.50,7.00,6.00,8.20
10.00,7.90,8.10,9.60,7.40,8.70,8.90
7.20,6.80,5.60,7.80,6.00,5.40,7.30
8.40,7.20,7.10,9.40,6.50,8.00,9.80
6.50,6.40,4.10,7.10,3.00,7.00,1.90
6.50,6.80,6.70,0.70,7.30,9.00,1.50
5.00,-,-,-,-,-,0.00
8.90,6.70,8.20,8.60,7.90,7.80,8.80
5.60,5.80,5.00,0.00,5.30,7.70,2.00
7.90,5.50,5.40,7.00,3.00,5.30,7.60
3.50,5.10,5.70,0.30,1.40,4.00,0.80
6.80,5.60,7.10,0.00,7.20,9.50,9.00
4.50,5.70,3.90,0.50,1.70,2.80,9.50
6.20,6.00,7.00,4.30,7.00,9.00,9.20
7.30,6.40,5.00,5.60,5.40,1.50,7.30
8.70,8.10,8.70,9.70,8.70,7.80,9.30
6.90,5.70,5.70,5.40,4.50,2.40,0.20
9.50,8.70,9.30,9.80,8.40,9.30,8.90
7.80,6.50,8.30,10.00,9.10,6.40,10.00
6.00,5.70,6.00,7.30,5.00,5.00,7.00
7.80,6.90,9.40,7.70,8.20,10.00,7.80
5.50,7.30,7.30,6.90,6.70,7.10,7.20
4.60,6.50,5.30,5.00,5.00,0.70,6.30
7.70,6.90,5.10,3.40,1.60,1.40,-
9.00,8.00,7.30,8.40,8.00,7.10,8.60
8.80,7.50,9.60,9.60,9.00,6.80,8.70
7.00,8.10,7.50,7.40,5.20,7.50,1.10
8.20,6.50,7.50,2.20,6.20,9.80,5.10
5.50,7.10,6.30,6.70,1.80,5.90,-
8.20,7.60,-,8.50,7.60,6.10,3.90
5.80,6.50,6.10,7.40,6.00,5.00,7.90
7.30,7.00,8.00,5.00,7.00,8.30,9.20
6.30,6.20,5.20,7.00,5.50,5.20,9.10
7.90,5.10,5.00,3.00,2.00,1.10,0.60
7.30,7.20,6.30,9.70,6.00,7.70,10.00
5.60,6.10,7.20,8.00,5.70,6.70,5.80
6.00,7.00,5.40,0.50,2.70,6.00,2.90
9.70,7.30,7.30,6.10,5.00,5.30,7.60
8.90,7.30,6.60,6.80,6.70,5.90,7.90
5.50,5.20,0.70,0.00,0.50,0.20,0.00
8.20,7.10,6.10,0.00,8.00,1.20,1.00
7.10,6.20,5.20,1.30,1.00,0.40,0.90
8.20,6.20,5.70,5.80,5.30,4.20,6.80
7.00,4.90,5.10,7.60,5.00,4.80,8.00
7.60,6.40,6.60,8.60,7.80,5.30,6.20
7.40,6.90,7.00,5.00,8.30,5.60,7.40
8.10,7.00,6.30,6.40,5.00,6.50,7.70
5.70,6.00,1.30,0.70,0.40,2.40,0.20
8.20,5.00,-,-,5.00,-,5.60
9.30,8.20,8.30,9.80,8.10,9.00,9.80
6.20,6.30,6.50,5.00,0.80,3.10,1.70
2.20,5.10,5.20,7.80,7.00,5.90,8.00
8.40,7.40,5.80,2.50,1.50,0.40,6.60
9.80,8.70,7.70,5.00,7.30,7.60,-
9.50,7.60,6.90,9.00,5.10,5.70,9.30
4.40,6.40,5.20,4.20,5.00,5.20,0.80
6.60,5.40,5.90,6.20,5.80,3.90,-
9.30,7.30,7.60,5.30,6.80,3.40,5.00
-,-,7.00,1.00,6.30,3.50,7.80
7.20,5.70,5.90,5.20,2.50,5.10,1.10
5.90,7.10,5.80,0.00,4.80,5.30,-
2.50,5.60,0.00,0.00,0.00,0.80,1.30
6.70,5.70,5.60,5.00,4.50,4.50,7.10
6.10,6.00,5.30,-,2.50,-,-
8.10,7.00,8.50,9.50,7.00,8.30,8.60
7.10,6.30,6.30,8.00,7.60,5.40,5.30
6.80,7.00,6.50,7.10,6.60,6.00,8.20
-,-,6.40,4.30,0.70,-,0.20
6.70,6.80,5.90,10.00,6.50,5.10,10.00
5.30,5.00,2.00,-,0.20,0.20,-
6.50,6.30,5.00,1.80,0.50,0.90,1.60
10.00,8.20,8.10,2.50,9.00,7.20,8.50
7.70,7.90,6.00,7.50,5.40,5.80,7.70
7.60,8.60,8.40,7.40,8.10,7.60,8.40
6.30,5.90,7.20,0.30,5.80,1.00,1.20
7.00,5.30,5.00,6.00,4.50,5.50,8.90
