,lab1,lab2,lab3,lab4,lab5,exe1,exe2,exe3,exe4,exe5
0,10.0,10.0,2.0,4.0,10.0,3.3333333333333335,2.777777777777778,4.0,1.25,3.125
1,0.0,6.4,10.0,,10.0,0.0,1.7777777777777781,2.666666666666667,0.625,5.625
4382,,2.0,4.0,2.0,2.0,,0.5555555555555555,3.1066666666666665,3.125,2.08125
4381,,2.0,4.0,2.0,2.0,,0.5555555555555555,3.1066666666666665,0.0,2.08125
4436,,,4.0,6.0,10.0,,,2.666666666666667,1.875,3.125
2,0.0,10.0,4.0,6.0,4.0,0.6666666666666667,6.7555555555555555,3.993333333333333,4.375,2.5
4515,,,,,,,,0.6666666666666667,,0.0
4437,,,6.0,,10.0,,,3.3333333333333335,,3.125
3,8.0,9.6,10.0,10.0,8.0,5.333333333333334,7.666666666666667,8.440000000000001,1.25,5.0
4,8.0,9.6,10.0,10.0,8.0,5.333333333333334,7.666666666666667,8.440000000000001,8.125,5.0
5,4.0,,6.0,,10.0,1.3333333333333335,,1.3333333333333335,1.25,3.125
6,4.0,,6.0,,10.0,1.3333333333333335,,1.3333333333333335,0.625,3.125
4438,,,6.0,,10.0,,,3.3333333333333335,,3.125
4383,,8.0,,,,,2.222222222222222,,,
7,10.0,10.0,10.0,10.0,10.0,7.333333333333333,10.0,10.0,6.25,10.0
8,10.0,10.0,10.0,10.0,10.0,7.333333333333333,10.0,10.0,10.0,10.0
4439,,,6.0,,10.0,,,2.666666666666667,0.625,3.125
4440,,,10.0,,,,,2.666666666666667,0.625,
10,10.0,10.0,10.0,8.0,10.0,8.0,10.0,10.0,7.5,6.25
9,10.0,10.0,10.0,8.0,10.0,8.0,10.0,10.0,8.75,6.25
4441,,,2.0,,,,,2.0,,
11,10.0,10.0,4.0,10.0,10.0,3.3333333333333335,2.777777777777778,6.666666666666667,3.125,3.125
13,8.0,8.0,8.0,6.0,6.0,3.166666666666667,4.255555555555556,3.3333333333333335,3.125,1.875
12,8.0,8.0,8.0,6.0,6.0,3.166666666666667,4.255555555555556,3.3333333333333335,1.25,1.875
15,4.0,8.0,2.0,6.0,10.0,2.0,5.555555555555556,2.0,5.625,5.9375
14,4.0,8.0,2.0,6.0,10.0,2.0,5.555555555555556,2.0,1.25,5.9375
17,10.0,10.0,4.0,8.0,10.0,4.0,3.3333333333333335,5.333333333333334,3.75,5.0
16,10.0,10.0,4.0,8.0,10.0,4.0,3.3333333333333335,5.333333333333334,5.0,5.0
4509,,,,,10.0,,,,,3.125
4384,,2.0,,,,,1.6666666666666667,0.6666666666666667,,
18,10.0,10.0,,4.0,10.0,3.3333333333333335,2.777777777777778,2.166666666666667,1.25,6.875
19,10.0,10.0,10.0,10.0,10.0,4.0,7.222222222222223,8.666666666666668,7.5,3.4375
20,10.0,10.0,10.0,10.0,10.0,4.0,7.222222222222223,8.666666666666668,5.625,3.4375
4442,,,6.0,2.0,10.0,,,3.3333333333333335,0.625,3.75
4443,,,10.0,,,,,4.0,0.625,
4506,,,,0.0,0.0,0.0,,,0.0,0.0
4444,,,2.0,,,,,2.0,,
21,10.0,10.0,10.0,8.0,,3.3333333333333335,9.444444444444445,7.333333333333333,3.125,
22,4.0,2.0,2.0,4.0,2.0,1.3333333333333335,0.5555555555555555,1.3333333333333335,3.125,0.625
23,10.0,10.0,4.0,4.0,0.0,3.3333333333333335,5.555555555555556,4.666666666666666,2.5,0.0
24,6.0,10.0,2.0,,,2.0,3.3333333333333335,2.0,,
4385,,2.0,,10.0,2.0,,0.5555555555555555,1.3333333333333335,3.125,6.25
25,2.0,,,,,0.6666666666666667,,,,
26,4.0,10.0,6.0,2.0,,1.3333333333333335,8.472222222222223,5.333333333333334,0.625,
4445,,,10.0,,,,,4.0,0.625,
27,10.0,10.0,2.0,6.0,8.0,3.3333333333333335,2.777777777777778,2.0,1.875,2.5
29,10.0,10.0,10.0,10.0,10.0,7.333333333333333,10.0,10.0,10.0,10.0
28,10.0,10.0,10.0,10.0,10.0,7.333333333333333,10.0,10.0,9.7875,10.0
4446,,,2.0,,,,,2.0,,
30,0.0,8.0,3.3200000000000003,2.0,6.5,1.3333333333333335,7.177777777777777,1.5466666666666666,1.2375,3.90625
38,0.0,8.0,3.3200000000000003,2.0,6.5,1.3333333333333335,7.177777777777777,1.5466666666666666,2.5,3.90625
4126,2.0,10.0,4.0,,,0.6666666666666667,6.111111111111112,2.666666666666667,0.625,
4386,,2.0,2.0,,10.0,,1.6666666666666667,2.0,1.25,5.83125
4128,8.0,10.0,4.0,10.0,10.0,2.666666666666667,3.8888888888888884,4.666666666666666,4.375,6.25
4127,8.0,10.0,4.0,10.0,10.0,2.666666666666667,3.8888888888888884,4.666666666666666,5.4125,6.25
4129,8.0,10.0,,8.0,0.5,2.666666666666667,4.35,0.22000000000000003,2.5,0.15625
4387,,2.0,2.0,,10.0,,1.111111111111111,1.8333333333333328,0.625,9.375
4130,2.0,5.1,,,,0.6666666666666667,3.083333333333333,,,
4131,10.0,10.0,4.0,,10.0,3.3333333333333335,10.0,4.0,2.5,3.125
4518,,,,,,,,,0.0,0.0
4132,8.0,4.0,10.0,,4.0,2.666666666666667,2.222222222222222,4.666666666666666,0.625,1.875
4133,2.0,10.0,4.0,6.0,6.0,0.6666666666666667,7.222222222222223,4.0,2.5,1.875
4447,,,2.0,,,,,,1.25,
4448,,,6.0,,10.0,,,3.3333333333333335,1.25,3.75
4134,4.0,4.0,2.0,,,1.3333333333333335,2.777777777777778,1.3333333333333335,,
4135,10.0,10.0,2.0,,5.0,3.3333333333333335,2.777777777777778,2.0,0.0,1.5625
4136,2.0,8.0,6.0,10.0,10.0,0.6666666666666667,5.555555555555556,6.666666666666667,8.75,5.0
4137,10.0,10.0,10.0,,10.0,3.3333333333333335,6.666666666666667,3.3333333333333335,0.625,3.125
4449,,,6.0,,,,,3.3333333333333335,,
4138,6.0,,,,,2.0,,,,
4388,,2.0,4.0,,6.0,,2.222222222222222,2.666666666666667,1.875,1.875
4139,4.0,6.0,2.5,0.0,2.0,2.5,4.1,2.6066666666666665,0.0,0.625
4140,10.0,10.0,2.0,10.0,10.0,4.666666666666666,2.777777777777778,3.5,3.125,3.125
4141,10.0,10.0,2.0,10.0,10.0,4.666666666666666,2.777777777777778,3.5,1.25,3.125
4142,6.0,6.0,,,,2.0,5.555555555555556,0.6666666666666667,,
4143,4.0,10.0,4.0,6.0,10.0,5.333333333333334,9.305555555555555,4.0,6.25,3.75
4510,,,,,6.0,,,,,1.875
4389,,2.0,,,4.0,,0.5555555555555555,1.3333333333333335,,1.25
4144,2.0,4.0,6.76,8.0,2.0,0.6666666666666667,5.461111111111111,7.193333333333333,6.25,0.625
4145,2.0,4.0,6.76,8.0,2.0,0.6666666666666667,5.461111111111111,7.193333333333333,1.25,0.625
4146,8.0,10.0,2.0,2.0,6.0,2.666666666666667,5.394444444444444,0.0,0.0,1.875
4147,8.0,10.0,2.0,2.0,6.0,2.666666666666667,5.394444444444444,0.0,2.5,1.875
4148,10.0,,10.0,4.0,2.0,3.3333333333333335,,2.666666666666667,1.875,0.625
4450,,,6.0,,,,,3.3333333333333335,,
4390,,0.0,,,,,0.0,,,
4451,,,6.0,,,,,3.3333333333333335,,
